id,authors,original_title,title,language_code
5161,Bill Clegg,Did You Ever Have a Family,Did You Ever Have a Family,eng
5162,Nelson DeMille,The Gold Coast,The Gold Coast,
5163,Elisabeth Kübler-Ross,On Death and Dying,On Death and Dying,eng
5164,"James Patterson, Maxine Paetro",14th Deadly Sin,"14th Deadly Sin (Women’s Murder Club, #14)",eng
5165,Lisa Kleypas,It Happened One Autumn,"It Happened One Autumn (Wallflowers, #2)",eng
5166,Patricia Cornwell,Scarpetta,"Scarpetta (Kay Scarpetta, #16)",en-US
5167,Dennis Lehane,"Darkness, Take My Hand","Darkness, Take My Hand (Kenzie & Gennaro, #2)",eng
5168,R.A. Salvatore,Siege of Darkness,"Siege of Darkness (Forgotten Realms: Legacy of the Drow, #3; Legend of Drizzt, #9)",en-US
5169,Ellen Hopkins,,"Perfect (Impulse, #2)",en-US
5170,Kristen Proby,Play With Me,"Play with Me (With Me in Seattle, #3)",eng
5171,J.D. Robb,Portrait in Death,"Portrait in Death (In Death, #16)",eng
5172,Monica  Murphy,Second Chance Boyfriend,"Second Chance Boyfriend (One Week Girlfriend, #2)",eng
5173,"Brian K. Vaughan, Pia Guerra, Goran Parlov, José Marzán Jr.",Y: The Last Man Vol. 4: Safeword,"Y: The Last Man, Vol. 4: Safeword (Y: The Last Man, #4)",eng
5174,Nora Roberts,The Collector,The Collector,eng
5175,Robin McKinley,Sunshine,Sunshine,en-US
5176,Sue Grafton,"""D"" is for Deadbeat ","D is for Deadbeat (Kinsey Millhone, #4)",eng
5177,Jesmyn Ward,Salvage the Bones,Salvage the Bones,eng
5178,Kristen Callihan,The Hook Up,"The Hook Up (Game On, #1)",eng
5179,Naomi Novik,Throne of Jade,"Throne of Jade (Temeraire, #2)",eng
5180,David McCullough,Mornings on Horseback,Mornings on Horseback,en-US
5181,"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.",Y: The Last Man Vol. 7: Paper Dolls,"Y: The Last Man, Vol. 7: Paper Dolls (Y: The Last Man, #7)",eng
5182,Edward Rutherfurd,London: The Novel,London,en-US
5183,Natasha Preston,Silence,"Silence (Silence, #1)",en-US
5184,"Stephanie Perkins, Holly Black, Ally Carter, Matt de la Pena, Gayle Forman, Jenny Han, David Levithan, Kelly Link, Myra McEntire, Rainbow Rowell, Laini Taylor, Kiersten White",My True Love Gave to Me: Twelve Holiday Stories,My True Love Gave to Me: Twelve Holiday Stories,eng
5185,Hugh Howey,Sand Omnibus,"Sand Omnibus (Sand, #1-5)",eng
5186,Scott  Meyer,Off to Be the Wizard,"Off to Be the Wizard (Magic 2.0, #1)",eng
5187,Richard Russo,Nobody's Fool,Nobody's Fool,eng
5188,"Richard Bachman, Stephen King",Rage,Rage,eng
5189,"Émile Zola, Roger Pearson",Germinal,"Germinal (Les Rougon-Macquart, #13)",eng
5190,Abbi Glines,Ceaseless,"Ceaseless (Existence Trilogy, #3)",eng
5191,Michael Ondaatje,,The Cat's Table,eng
5192,Alfred Bester,The Demolished Man,The Demolished Man,eng
5193,Melissa de la Cruz,Lost In Time,"Lost in Time (Blue Bloods, #6)",eng
5194,Meg Cabot,Ninth Key,"Ninth Key (The Mediator, #2)",eng
5195,Dean Koontz,Twilight Eyes,Twilight Eyes,
5196,Lisa Gardner,Find Her,"Find Her (Detective D.D. Warren, #8)",eng
5197,"J. Lynn, Jennifer L. Armentrout",Frigid,"Frigid (Frigid, #1)",eng
5198,"Isabel Allende, Margaret Sayers Peden",De amor y de sombra,Of Love and Shadows,eng
5199,Jacqueline Kelly,The Evolution of Calpurnia Tate,"The Evolution of Calpurnia Tate (Calpurnia Tate, #1)",en-US
5200,Katie Alender,Bad Girls Don't Die,"Bad Girls Don't Die (Bad Girls Don't Die, #1)",eng
5201,Clive Cussler,Atlantis Found,"Atlantis Found (Dirk Pitt, #15)",eng
5202,David Mazzucchelli,Asterios Polyp,Asterios Polyp,eng
5203,David Eddings,Domes of Fire,"Domes of Fire (The Tamuli, #1)",
5204,"Robert Kirkman, Charlie Adlard, Cliff Rathburn","The Walking Dead, Vol. 4: The Heart's Desire","The Walking Dead, Vol. 04: The Heart's Desire",eng
5205,Kazu Kibuishi,The Stonekeeper's Curse,"The Stonekeeper's Curse (Amulet, #2)",eng
5206,Carl Hiaasen,Sick Puppy,Sick Puppy,eng
5207,Bill Watterson,The Days Are Just Packed: A Calvin and Hobbes Collection,The Days Are Just Packed: A Calvin and Hobbes Collection,en-US
5208,Danny Gregory,"An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists, Illustrators And Designers","An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists, Illustrators And Designers",
5209,Dean Koontz,Odd Apocalypse,"Odd Apocalypse (Odd Thomas, #5)",eng
5210,"Michel Foucault, Alan Sheridan, Thomas Mathiesen, Walter Seitter, Drago Braco Rotar",Surveiller et punir. Naissance de la prison,Discipline and Punish: The Birth of the Prison,eng
5211,Catherine Ryan Hyde,Pay It Forward,Pay It Forward,eng
5212,Danny Gregory,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,
5213,"Arina Tanemura, Tomo Kimura",満月をさがして 1,"Full Moon o Sagashite, Vol. 1",eng
5214,Bernard Cornwell,Harlequin,"The Archer's Tale (The Grail Quest, #1)",eng
5215,Anne Lamott,Plan B: Further Thoughts on Faith,Plan B: Further Thoughts on Faith,
5216,Sarah Dunant,In the Company of the Courtesan,In the Company of the Courtesan,eng
5217,Peter V. Brett,The Skull Throne,"The Skull Throne (Demon Cycle, #4)",eng
5218,Sherrilyn Kenyon,Devil May Cry,"Devil May Cry (Dark-Hunter, #11)",eng
5219,Nicholas Sparks,Two By Two,Two By Two,eng
5220,Anita Shreve,Sea Glass,Sea Glass,eng
5221,Shannon Hale,River Secrets,"River Secrets (The Books of Bayern, #3)",
5222,Jeffrey Archer,Be Careful What You Wish For,"Be Careful What You Wish For (The Clifton Chronicles, #4)",eng
5223,Amy A. Bartol,Inescapable,"Inescapable (The Premonition, #1)",eng
5224,Aprilynne Pike,Illusions,"Illusions (Wings, #3)",en-US
5225,Joe McGinniss,Fatal Vision,Fatal Vision,eng
5226,Sudhir Venkatesh,Gang Leader for a Day,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,
5227,"Raymond E. Feist, Michael Avon Oeming, Bryan J.L. Glass, Ryan Stegman","Magician: Apprentice (The Riftwar Saga, #1) ",Magician: Apprentice  (Raymond E. Feist's Magician: Apprentice #1),eng
5228,John C. Maxwell,Developing the Leader Within You,Developing the Leader Within You,
5229,C.S. Lewis,That Hideous Strength,"That Hideous Strength (Space Trilogy, #3)",en-GB
5230,Laline Paull,The Bees,The Bees,eng
5231,Sara Gruen,Ape House,Ape House,eng
5232,"David Eddings, Leigh Eddings",Polgara the Sorceress,Polgara the Sorceress (Malloreon),
5233,Kevin Kwan,China Rich Girlfriend,China Rich Girlfriend (Crazy Rich Asians #2),eng
5234,Elizabeth George,A Woman After God's Own Heart,A Woman After God's Own Heart,eng
5235,Brad Thor,State Of The Union,"State of the Union (Scot Harvath, #3)",eng
5236,Ann Leary,The Good House,The Good House,en-GB
5237,Rudolfo Anaya,"Bless Me, Ultima","Bless Me, Ultima",en-US
5238,Bret Easton Ellis,Glamorama,Glamorama,eng
5239,Sue Grafton,F is for Fugitive,"F is for Fugitive (Kinsey Millhone, #6)",eng
5240,Jo Nesbø,"Frelseren (Harry Hole, #6)","The Redeemer (Harry Hole, #6)",dan
5241,Alessandro Baricco,Seta,Silk,en-US
5242,Tatiana de Rosnay,Boomerang,A Secret Kept,eng
5243,"Tim LaHaye, Jerry B. Jenkins",The Remnant: On the Brink of Armageddon,"The Remnant (Left Behind, #10)",en-US
5244,"Italo Calvino, Archibald Colquhoun",Il barone rampante,The Baron in the Trees,eng
5245,"Stephenie Meyer, Young Kim","Twilight: The Graphic Novel,","Twilight: The Graphic Novel, Vol. 2  (Twilight: The Graphic Novel, #2)",en-US
5246,Belle Aurora,Raw,"Raw (RAW Family, #1)",eng
5247,Roger Zelazny,The Great Book of Amber,"The Great Book of Amber (The Chronicles of Amber, #1-10)",eng
5248,Gena Showalter,The Darkest Lie (Lords of the Underworld #6),The Darkest Lie (Lords of the Underworld #6),eng
5249,Andrzej Sapkowski,Czas pogardy,"Czas pogardy (Saga o Wiedźminie, #4)",pol
5250,Jillian Dodd,That Boy,"That Boy (That Boy, #1)",eng
5251,Kate Alcott,The Dressmaker,The Dressmaker,eng
5252,Judith McNaught,Paradise,"Paradise (Second Opportunities, #1)",eng
5253,Chris Van Allsburg,Jumanji,Jumanji,en-US
5254,Ken Grimwood,Replay,Replay,en-US
5255,David Eagleman,Incognito: The Secret Lives of the Brain,Incognito: The Secret Lives of the Brain,eng
5256,Neil deGrasse Tyson,Death by Black Hole: And Other Cosmic Quandaries,Death by Black Hole - And Other Cosmic Quandaries,eng
5257,Margaret Atwood,The Edible Woman,The Edible Woman,
5258,Richard Dawkins,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,en-US
5259,Marissa Meyer,Heartless,Heartless,eng
5260,Paul Zindel,The Pigman,"The Pigman (The Pigman, #1)",eng
5261,Lincoln Child,Deep Storm,"Deep Storm (Jeremy Logan, #1)",eng
5262,Meg Cabot,Abandon,"Abandon (Abandon, #1)",eng
5263,Alexander McCall Smith,The Full Cupboard of Life,"The Full Cupboard of Life (No. 1 Ladies' Detective Agency, #5)",eng
5264,Kerrelyn Sparks,How to Marry a Millionaire Vampire,"How to Marry a Millionaire Vampire (Love at Stake, #1)",eng
5265,Dr. Seuss,The Foot Book: Dr. Seuss's Wacky Book of Opposites (Bright & Early Board Books),The Foot Book: Dr. Seuss's Wacky Book of Opposites (Bright and Early Board Books),eng
5266,Christina Lauren,Beautiful Bitch,"Beautiful Bitch (Beautiful Bastard, #1.5)",en-US
5267,Robert Muchamore,"The Recruit (Cherub, #1)","The Recruit (Cherub, #1)",eng
5268,Sarah Simblet,Anatomy for the Artist,Anatomy for the Artist,en-US
5269,Simon Singh,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,eng
5270,Richard Paul Evans,The Christmas Box,"The Christmas Box (The Christmas Box, #1)",eng
5271,Amanda Hocking,My Blood Approves,"My Blood Approves (My Blood Approves, #1)",eng
5272,Aurora Rose Reynolds,Until November,"Until November (Until, #1)",eng
5273,Angela Carter,The Bloody Chamber & Other Stories,The Bloody Chamber and Other Stories,eng
5274,Anthony Bourdain,A Cook's Tour: Global Adventures in Extreme Cuisines,A Cook's Tour: Global Adventures in Extreme Cuisines,eng
5275,Simon Schama,Power of Art,The Power of Art,en-US
5276,"Michelle Knight, Michelle Burford","Finding me : A Decade of Darkness, a Life Reclaimed","Finding Me: A Decade of Darkness, a Life Reclaimed - A Memoir of the Cleveland Kidnappings",eng
5277,Nora Roberts,Born in Shame,"Born in Shame (Born In Trilogy, #3)",en-GB
5278,Simone Elkeles,Return to Paradise,"Return to Paradise (Leaving Paradise, #2)",eng
5279,Jasmine Warga,My Heart and Other Black Holes,My Heart and Other Black Holes,eng
5280,Kim Gordon,Girl in a Band,Girl in a Band,eng
5281,Heather Brewer,"Ninth Grade Slays (The Chronicles of Vladimir Tod, #2)","Ninth Grade Slays (The Chronicles of Vladimir Tod, #2)",en-US
5282,Patricia Cornwell,Book of the Dead,"Book of the Dead (Kay Scarpetta, #15)",en-US
5283,Joseph Campbell,The Hero with a Thousand Faces,The Hero With a Thousand Faces,eng
5284,John Sandford,Bad Blood,"Bad Blood (Virgil Flowers, #4)",eng
5285,"D.C. Talk, The Voice of the Martyrs","Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks","Jesus Freaks: Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks (Jesus Freaks, #1)",eng
5286,Michael Pollan,Cooked: A Natural History of Transformation ,Cooked: A Natural History of Transformation,eng
5287,Anne Bishop,Daughter of the Blood,Daughter of the Blood (The Black Jewels #1),eng
5288,Orson Scott Card,The Lost Gate,"The Lost Gate (Mither Mages, #1)",en-US
5289,"Jo Nesbø, Don Bartlett","Politi (Harry Hole, #10)","Police (Harry Hole, #10)",eng
5290,Anne Rice,Vittorio the Vampire,"Vittorio, The Vampire (New Tales of the Vampires, #2)",eng
5291,"Yuu Watase, Yuji Oniki",ふしぎ遊戯 1,"Fushigi Yûgi: The Mysterious Play, Vol. 1: Priestess",eng
5292,Brunonia Barry,The Lace Reader,"The Lace Reader (The Lace Reader, #1)",eng
5293,"Faye Perozich, Travis Moore, Michael Halbleib, Daerick Gröss, Anne Rice",Anne Rice's The Tale of the Body Thief (Graphic Novel),Anne Rice's The Tale of the Body Thief (A Graphic Novel),eng
5294,Sherman Alexie,The Lone Ranger and Tonto Fistfight in Heaven,The Lone Ranger and Tonto Fistfight in Heaven,en-US
5295,Laurell K. Hamilton,"A Stroke of Midnight (Merry Gentry, #4)","A Stroke of Midnight (Merry Gentry, #4)",en-US
5296,Stephenie Meyer,The Chemist,The Chemist,eng
5297,Anchee Min,Empress Orchid,"Empress Orchid (Empress Orchid, #1)",en-US
5298,Eoin Colfer,"And Another Thing... (Hitchhiker's Guide to the Galaxy, #6)",And Another Thing...,eng
5299,Kathy Reichs,,"Monday Mourning (Temperance Brennan, #7)",en-US
5300,H.M. Ward,Damaged,"Damaged (Damaged, #1)",eng
5301,"George MacDonald, Arthur Hughes",The Princess and the Goblin,"The Princess and the Goblin  (Princess Irene and Curdie, #1)",eng
5302,"Camilla Läckberg, Steven T. Murray",Predikanten,"The Preacher (Patrik Hedström, #2)",
5303,Dr. Seuss,There's a Wocket in My Pocket,There's a Wocket in My Pocket!,en-GB
5304,Dean Koontz,Midnight,Midnight,
5305,Madeleine Wickham,The Gatecrasher,The Gatecrasher,en-GB
5306,Neal Stephenson,The Confusion,"The Confusion (The Baroque Cycle, #2)",en-US
5307,Terry Pratchett,Raising Steam,"Raising Steam (Discworld, #40, Moist von Lipwig #3 )",eng
5308,Joelle Charbonneau,Independent Study,"Independent Study (The Testing, #2)",eng
5309,Sue Grafton,X,"X (Kinsey Millhone, #24)",eng
5310,"Roger Zelazny, Sönmez Güven",Lord of Light,Lord of Light,en-US
5311,"Roald Dahl, Quentin Blake",Esio Trot,Esio Trot,eng
5312,Mike Mignola,Hellboy: The Chained Coffin and Others,"Hellboy, Vol. 3: The Chained Coffin and Others (Hellboy, #3)",eng
5313,Scott B. Smith,A Simple Plan,A Simple Plan,
5314,"James Patterson, Michael Ledwidge",Run for Your Life,"Run for Your Life (Michael Bennett, #2)",eng
5315,"Joan Didion, David Thomson",Play It as It Lays,Play It as It Lays,eng
5316,Kelley Armstrong,Dime Store Magic,"Dime Store Magic (Women of the Otherworld, #3)",eng
5317,Kim Stanley Robinson,Blue Mars ,"Blue Mars (Mars Trilogy, #3)",eng
5318,"Paulo Coelho, Alan R. Clarke",As Valkírias,The Valkyries,eng
5319,Louise Penny,The Long Way Home,"The Long Way Home (Chief Inspector Armand Gamache, #10)",eng
5320,A.S. King,Please Ignore Vera Dietz,Please Ignore Vera Dietz,eng
5321,"Joseph Delaney, Patrick  Arrasmith",The Spook's Curse,"Curse of the Bane (The Last Apprentice / Wardstone Chronicles, #2)",
5322,L.J. Smith,The Struggle,"The Struggle (The Vampire Diaries, #2)",eng
5323,Karen Marie Moning,The Dark Highlander,"The Dark Highlander (Highlander, #5)",eng
5324,Karen Marie Moning,The Immortal Highlander ,"The Immortal Highlander (Highlander, #6)",eng
5325,Reza Aslan,"No god but God: The Origins, Evolution, and Future of Islam","No god but God: The Origins, Evolution and Future of Islam",eng
5326,Philip K. Dick,Valis,"VALIS (VALIS Trilogy, #1)",eng
5327,"Simone de Beauvoir, H.M. Parshley, Deirdre Bair","Le deuxième sexe: I. Les faits et les mythes, II. L'expérience vécue",The Second Sex,eng
5328,Jennifer A. Nielsen,The Runaway King,"The Runaway King (The Ascendance Trilogy, #2)",eng
5329,"Margaret Weis, Tracy Hickman","Dragon Wing (The Death Gate Cycle, #1)","Dragon Wing (The Death Gate Cycle, #1)",en-US
5330,Kurt Vonnegut Jr.,Jailbird,Jailbird,eng
5331,"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.",Y: The Last Man Vol. 9: Motherland,"Y: The Last Man, Vol. 9: Motherland (Y: The Last Man, #9)",eng
5332,Dan Simmons,Ilium,"Ilium (Ilium, #1)",eng
5333,"Noelle Stevenson, Grace Ellis, Shannon Waters, Shannon Watters, Brooke A. Allen, Faith Hicks, Kat Leyh, Brooke Allen, Carolyn Nowak, Various, Carey Pietsch",,"Lumberjanes, Vol. 1: Beware the Kitten Holy",eng
5334,Elaine N. Aron,The Highly Sensitive Person - How to Thrive when the World Overwhelms You,The Highly Sensitive Person: How to Thrive When the World Overwhelms You,eng
5335,Chitra Banerjee Divakaruni,The Palace of Illusions,The Palace of Illusions,en-US
5336,H.W. Brands,The First American: The Life and Times of Benjamin Franklin,The First American: The Life and Times of Benjamin Franklin,eng
5337,"Douglas Preston, Lincoln Child",Dance of Death,"Dance of Death (Pendergast, #6; Diogenes, #2)",eng
5338,Susan Beth Pfeffer,This World We Live In,"This World We Live In (Last Survivors, #3)",en-US
5339,"Yoshihiro Togashi, 冨樫 義博",Hunter × Hunter #1,"Hunter x Hunter, Vol. 01 (Hunter x Hunter, #1)",eng
5340,J.D. Robb,Vengeance in Death,"Vengeance in Death (In Death, #6)",eng
5341,Connie Willis,To Say Nothing of the Dog,"To Say Nothing of the Dog (Oxford Time Travel, #2)",eng
5342,"James Patterson, Ned Rust",The Gift,"The Gift (Witch & Wizard, #2)",
5343,Michael Crichton,The Terminal Man,The Terminal Man,eng
5344,"Daniel Abraham, George R.R. Martin, Tommy Patterson",A Song of Ice and Fire Graphic Novels,"A Game of Thrones: Comic Book, Issue 1",eng
5345,Holly Black,White Cat,"White Cat (Curse Workers, #1)",eng
5346,Raymond Carver,Where I’m Calling From: The Selected Stories,Where I'm Calling From: New and Selected Stories,en-US
5347,Jasper Fforde,Something Rotten,"Something Rotten (Thursday Next, #4)",eng
5348,Jean M. Auel,The Land of the Painted Caves,"The Land of Painted Caves (Earth's Children, #6)",eng
5349,Lucy Grealy,Autobiography of a Face,Autobiography of a Face,en-GB
5350,Lauren Oliver,Vanishing Girls,Vanishing Girls,en-CA
5351,Walt Disney Company,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs (Little Golden Book),
5352,"Angie Sage, Mark Zug",Darke,"Darke (Septimus Heap, #6)",eng
5353,Jeff Kinney,The Wimpy Kid Movie Diary: How Greg Heffley Went Hollywood,The Wimpy Kid Movie Diary (Diary of a Wimpy Kid),en-US
5354,Dashiell Hammett,The Thin Man,The Thin Man,eng
5355,Candace Bushnell,Trading Up,Trading Up,eng
5356,David Brin,The Uplift War,"The Uplift War (The Uplift Saga, #3)",en-US
5357,Raymond E. Feist,Rage of a Demon King (The Serpentwar Saga #3),"Rage of a Demon King (The Serpentwar Saga, #3)",en-US
5358,"Kingsley Amis, David Lodge",Lucky Jim,Lucky Jim,eng
5359,Karin Slaughter,A Faint Cold Fear,"A Faint Cold Fear (Grant County, #3)",en-US
5360,Marie Lu,The Rose Society,"The Rose Society (The Young Elites, #2)",eng
5361,Kristin Hannah,Angel Falls,Angel Falls,
5362,Susane Colasanti,Waiting For You,Waiting For You,eng
5363,Jeff Hobbs,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,eng
5364,Li Cunxin,,Mao's Last Dancer,
5365,Lisa Gardner,The Neighbor,"The Neighbor (Detective D.D. Warren, #3)",eng
5366,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.",Y: The Last Man Vol. 10: Whys And Wherefores,"Y: The Last Man, Vol. 10: Whys and Wherefores (Y: The Last Man, #10)",eng
5367,Greg Bear,Eon,"Eon (The Way, #1)",en-US
5368,Helen Simonson,The Summer Before the War,The Summer Before the War,eng
5369,"C.G. Jung, Aniela Jaffé, Richard Winston, Clara Winston","Erinnerungen, Träume, Gedanken von C.G. Jung","Memories, Dreams, Reflections",eng
5370,Laurell K. Hamilton,Bullet,"Bullet (Anita Blake, Vampire Hunter #19)",en-US
5371,Diana Gabaldon,The Scottish Prisoner,"The Scottish Prisoner (Lord John Grey, #3)",eng
5372,Meg Cabot,Reunion,"Reunion (The Mediator, #3)",eng
5373,ياسر حارب,بيكاسو وستاربكس,بيكاسو وستاربكس,ara
5374,"Milan Kundera, Suzanne Rappaport",Směšné lásky ,Laughable Loves,eng
5375,Julia Quinn,The Secret Diaries of Miss Miranda Cheever,"The Secret Diaries of Miss Miranda Cheever (Bevelstoke, #1)",eng
5376,Founding Fathers,The Constitution of the United States of America,The Constitution of the United States of America,
5377,Gilles Néret,Gustav Klimt: le monde comme une forme féminine,Gustav Klimt: 1862-1918,
5378,Malcolm Lowry,Under the Volcano,Under the Volcano,eng
5379,Rachel Abbott,Sleep tight,Sleep Tight,eng
5380,"Mary Pope Osborne, Salvatore Murdocca",Dinosaurs Before Dark,"Dinosaurs Before Dark (Magic Tree House, #1)",eng
5381,Robert A. Heinlein,Have Space Suit - Will Travel,Have Space Suit—Will Travel,eng
5382,Jack London,The Sea Wolf,The Sea Wolf,eng
5383,Meg Cabot,Darkest Hour,"Darkest Hour (The Mediator, #4)",eng
5384,Kate Beaton,Hark! A Vagrant,Hark! A Vagrant,eng
5385,Ann Packer,The Dive From Clausen's Pier,The Dive From Clausen's Pier,eng
5386,"Thomas Mann, Michael Henry Heim, Michael Cunningham",Der Tod in Venedig,Death in Venice,eng
5387,"Sogyal Rinpoche, Andrew Harvey",The Tibetan Book of Living and Dying,The Tibetan Book of Living and Dying,
5388,Orson Scott Card,Enchantment,Enchantment,
5389,Edgar Allan Poe,The Fall of the House of Usher ,The Fall of the House of Usher,eng
5390,D.J. MacHale,The Soldiers of Halla,"The Soldiers of Halla (Pendragon, #10)",en-US
5391,E. Lockhart,"The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)","The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)",en-US
5392,Pat Barker,Regeneration,"Regeneration (Regeneration, #1)",en-GB
5393,Veronica Roth,Four: The Initiate,"The Initiate (Divergent, #0.2)",eng
5394,Michael J. Fox,Lucky Man,Lucky Man,eng
5395,Margaret Atwood,The Penelopiad,The Penelopiad,en-US
5396,"John Joseph Adams, Robert J. Sawyer, Stephen King, Michael Moorcock, Sharyn McCrumb, Stephen Baxter, Anne Perry, Barbara Hambly, Tanith Lee, Neil Gaiman, Rob Rogers, Naomi Novik, Anthony Burgess, Dominic Green, Laurie R. King, Barbara Roden, Peter Tremayne, Tim Lebbon, Bradley H. Sinor, Edward D. Hoch, Vonda N. McIntyre, Darrell Schweitzer, Mary Robinette Kowal, H.Paul Jeffers, Geoffrey A. Landis, Amy Myers, Tony Pi, Chris Roberson, Mark Valentine",The Improbable Adventures of Sherlock Holmes,The Improbable Adventures of Sherlock Holmes,eng
5397,Gigi Levangie Grazer,The Starter Wife,The Starter Wife,
5398,"Bill Willingham, Mark Buckingham, Steve Leialoha, James Jean","Fables, Volume 2: Animal Farm","Fables, Vol. 2: Animal Farm",eng
5399,"James     Baldwin, Kıvanç Güney",The Fire Next Time,The Fire Next Time,eng
5400,Mo Willems,Don't Let the Pigeon Stay Up Late!,Don't Let the Pigeon Stay Up Late!,en-US
5401,"Grant Morrison, Frank Quitely",We3,We3,eng
5402,Meg Cabot,Princess in Pink,"Princess in Pink (The Princess Diaries, #5)",eng
5403,Ellen Schreiber,"The Coffin Club (Vampire Kisses, #5)","The Coffin Club (Vampire Kisses, #5)",eng
5404,Sinclair Lewis,Main Street,Main Street,eng
5405,"Rick Riordan, John Rocco",Percy Jackson's Greek Gods,Percy Jackson's Greek Gods (A Percy Jackson and the Olympians Guide),eng
5406,Catherine Gilbert Murdock,Dairy Queen,"Dairy Queen (Dairy Queen, #1)",eng
5407,Michael Chabon,Telegraph Avenue,Telegraph Avenue,eng
5408,Karin Slaughter,Genesis,"Undone (Will Trent, #3)",eng
5409,Erika Swyler,The Book of Speculation,The Book of Speculation,eng
5410,Laurell K. Hamilton,Flirt,"Flirt (Anita Blake, Vampire Hunter #18)",en-US
5411,Nora Roberts,Inner Harbor (Chesapeake Bay Saga #3),"Inner Harbor (Chesapeake Bay Saga, #3)",eng
5412,Christopher Moore,Bite Me,"Bite Me (A Love Story, #3)",en-US
5413,Frederick Franck,Zen of Seeing: Seeing/Drawing as Meditation,Zen of Seeing: Seeing/Drawing as Meditation,
5414,Kristen Britain,Green Rider,"Green Rider (Green Rider, #1)",eng
5415,Anne McCaffrey,The Dragonriders of Pern,"The Dragonriders of Pern (Dragonriders of Pern, #1-3)",
5416,Helen Oyeyemi,"Boy, Snow, Bird","Boy, Snow, Bird",eng
5417,Sue Grafton,E Is for Evidence,"E is for Evidence (Kinsey Millhone, #5)",
5418,David  Brooks,"The Social Animal: The Hidden Sources of Love, Character, and Achievement","The Social Animal: The Hidden Sources of Love, Character, and Achievement",eng
5419,Ian McEwan,Solar,Solar,eng
5420,Thomas S. Kuhn,The Structure of Scientific Revolutions,The Structure of Scientific Revolutions,eng
5421,Andrea Levy,Small Island,Small Island,en-US
5422,Louise Penny,A Great Reckoning,"A Great Reckoning (Chief Inspector Armand Gamache, #12)",eng
5423,Sidney Sheldon,The Sky is Falling,The Sky is Falling,eng
5424,Peter M. Senge,,The Fifth Discipline: The Art & Practice of The Learning Organization,
5425,"Arthur Koestler, Daphne Hardy",Sonnenfinsternis,Darkness at Noon,eng
5426,Jaci Burton,The Perfect Play,"The Perfect Play (Play by Play, #1)",en-US
5427,Jane Green,Straight Talking,Straight Talking,
5428,Jack Campbell,"Dauntless (The Lost Fleet, #1)","Dauntless (The Lost Fleet, #1)",
5429,Lois McMaster Bujold,The Curse of Chalion,"The Curse of Chalion (World of the Five Gods, #1)",eng
5430,Elizabeth Flock,Me & Emma,Me & Emma,
5431,Nora Roberts,"Chesapeake Blue (Chesapeake Bay Saga, #4)","Chesapeake Blue (Chesapeake Bay Saga, #4)",en-US
5432,Malinda Lo,Ash,Ash,en-US
5433,Bernard Cornwell,The Burning Land,"The Burning Land (The Saxon Stories, #5)",eng
5434,Megan McCafferty,"Second Helpings (Jessica Darling, #2)","Second Helpings (Jessica Darling, #2)",eng
5435,"Diane Arbus, Stan Grossfeld, Doon Arbus, Marvin Israel",Diane Arbus: An Aperture Monograph,Diane Arbus: Monograph,
5436,Carolyn Mackler,"The Earth, My Butt, and Other Big Round Things","The Earth, My Butt, and Other Big Round Things",eng
5437,Joseph Conrad,Lord Jim,Lord Jim,eng
5438,Leo Lionni,A Color of His Own,A Color of His Own,
5439,Neil Gaiman,Don't Panic: The Official Hitchhikers Guide to the Galaxy Companion,Don't Panic: The Official Hitchhiker's Guide to the Galaxy Companion,eng
5440,Andrew Clements,Things Not Seen,"Things Not Seen (Things, #1)",en-GB
5441,"Frank E. Peretti, Ted Dekker",House,House,eng
5442,"V.E. Schwab, Victoria Schwab",Vicious,"Vicious (Villains, #1)",eng
5443,Clive Cussler,Raise the Titanic!,"Raise the Titanic! (Dirk Pitt, #4)",eng
5444,Eoin Colfer,The Supernaturalist,The Supernaturalist,en-US
5445,Meg Cabot,Queen of Babble in the Big City,"Queen of Babble in the Big City (Queen of Babble, #2)",eng
